PreciseTimeStamp,e2EDurationInMilliseconds
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,109
00:00.0,124
00:00.0,124
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,109
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,171
00:00.0,140
00:00.0,124
00:00.0,156
00:00.0,265
00:00.0,515
00:00.0,609
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,171
45:00.0,125
45:00.0,187
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,63547
45:00.0,93
45:00.0,93
45:00.0,93
45:00.0,93
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,93
45:00.0,93
45:00.0,93
45:00.0,93
45:00.0,93
45:00.0,93
45:00.0,93
45:00.0,93
45:00.0,109
45:00.0,45296
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,93
45:00.0,93
45:00.0,125
45:00.0,171
45:00.0,124
45:00.0,124
45:00.0,109
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,171
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,187
45:00.0,265
45:00.0,124
45:00.0,124
45:00.0,109
45:00.0,18484
45:00.0,125
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,187
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,44531
45:00.0,124
45:00.0,43421
45:00.0,43125
45:00.0,31687
45:00.0,93
45:00.0,1546
45:00.0,45593
45:00.0,9843
45:00.0,4218
45:00.0,8734
45:00.0,10281
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,36078
45:00.0,125
45:00.0,109
45:00.0,124
45:00.0,109
45:00.0,109
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,27109
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,3015
45:00.0,125
45:00.0,125
45:00.0,12874
45:00.0,14171
45:00.0,16531
45:00.0,18093
45:00.0,124
45:00.0,125
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,19671
45:00.0,19796
45:00.0,20515
45:00.0,24343
45:00.0,281
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,25328
45:00.0,25624
45:00.0,124
45:00.0,28062
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,140
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,140
45:00.0,218
45:00.0,203
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,203
45:00.0,125
45:00.0,218
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,29734
45:00.0,30421
45:00.0,10781
45:00.0,16297
45:00.0,16422
45:00.0,125
45:00.0,19484
45:00.0,21750
45:00.0,27968
45:00.0,29093
45:00.0,46890
45:00.0,46937
45:00.0,51125
45:00.0,55234
45:00.0,60234
45:00.0,109
45:00.0,124
45:00.0,140
45:00.0,39843
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,124
45:00.0,140
45:00.0,140
45:00.0,203
45:00.0,140
45:00.0,109
45:00.0,124
45:00.0,124
45:00.0,64625
45:00.0,65953
45:00.0,58906
45:00.0,57640
45:00.0,57546
45:00.0,54875
45:00.0,51000
45:00.0,49375
45:00.0,47828
45:00.0,46031
45:00.0,4250
45:00.0,6109
45:00.0,7828
30:00.0,93
30:00.0,78
30:00.0,93
30:00.0,78
30:00.0,93
30:00.0,109
30:00.0,93
30:00.0,93
30:00.0,93
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,93
30:00.0,81
30:00.0,78
30:00.0,62
30:00.0,78
30:00.0,78
30:00.0,77
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,50734
30:00.0,124
30:00.0,78
30:00.0,62
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,93
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,93
30:00.0,62
30:00.0,78
30:00.0,78
30:00.0,93
30:00.0,78
30:00.0,62
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,93
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,187
30:00.0,78
30:00.0,78
30:00.0,93
30:00.0,93
30:00.0,62
30:00.0,15
30:00.0,78
30:00.0,140
